Date,Open,High,Low,Close,Adj Close,Volume
2017-09-14,21.250000,22.170000,20.959999,21.990000,21.990000,10869700
2017-09-15,21.980000,22.100000,20.780001,21.000000,21.000000,11001400
2017-09-18,20.010000,20.320000,19.170000,19.480000,19.480000,13777700
2017-09-19,19.639999,20.020000,19.400000,19.850000,19.850000,10351500
2017-09-20,20.049999,20.820000,18.059999,18.820000,18.820000,19489900
2017-09-21,18.000000,19.120001,17.969999,18.290001,18.290001,12126700
2017-09-22,18.840000,19.350000,18.600000,19.070000,19.070000,10528200
2017-09-25,18.790001,20.400000,18.740000,20.070000,20.070000,13266400
2017-09-26,19.299999,19.790001,18.420000,18.780001,18.780001,14536800
2017-09-27,18.150000,18.570000,17.809999,17.870001,17.870001,14159700
2017-09-28,18.080000,18.770000,17.870001,18.320000,18.320000,11290600
2017-09-29,18.500000,18.549999,17.870001,17.930000,17.930000,8399100
2017-10-02,17.750000,18.129999,17.309999,17.860001,17.860001,9522000
2017-10-03,18.040001,18.790001,17.920000,18.540001,18.540001,9372800
2017-10-04,18.930000,19.080000,18.540001,19.000000,19.000000,9633100
2017-10-05,18.940001,19.040001,18.070000,18.170000,18.170000,10665100
2017-10-06,18.180000,19.440001,17.709999,19.379999,19.379999,17338800
2017-10-09,19.700001,20.209999,19.350000,20.100000,20.100000,8706700
2017-10-10,20.400000,20.440001,19.110001,19.299999,19.299999,11330500
2017-10-11,19.520000,19.990000,18.410000,19.969999,19.969999,14926700
2017-10-12,19.760000,19.879999,19.250000,19.459999,19.459999,8397000
2017-10-13,19.900000,19.969999,19.030001,19.360001,19.360001,9344000
2017-10-16,19.320000,19.450001,17.850000,18.230000,18.230000,14132500
2017-10-17,17.900000,18.250000,17.530001,18.080000,18.080000,13165600
2017-10-18,17.990000,18.200001,17.620001,17.670000,17.670000,9255600
2017-10-19,18.000000,18.260000,17.770000,17.950001,17.950001,9159100
2017-10-20,17.600000,17.690001,17.040001,17.170000,17.170000,12421900
2017-10-23,16.879999,17.180000,16.350000,16.830000,16.830000,12427200
2017-10-24,16.629999,16.820000,16.110001,16.230000,16.230000,11034100
2017-10-25,16.230000,16.299999,15.670000,15.800000,15.800000,11483000
2017-10-26,15.930000,15.980000,14.830000,15.050000,15.050000,14530300
2017-10-27,14.890000,15.570000,14.640000,15.220000,15.220000,10490600
2017-10-30,14.890000,16.150000,14.890000,15.880000,15.880000,9981200
2017-10-31,15.450000,15.470000,15.030000,15.160000,15.160000,9279100
2017-11-01,15.380000,16.100000,15.140000,15.280000,15.280000,12345400
